Region,Industry,Volume_applied,GVIAP,Rainfall,GVIAP_Millions,Latitude,Longitude
SA Murray,Pastures - Hay,3958,890796,204,0.89,-34.4,139.4
SA Murray,Vegetables,21911,160367343,204,160.37,-34.4,139.4
VIC Goulburn-Broken,All other crops,22215,0,399,0,-36.7,145.2
VIC Goulburn-Broken,Dairy,0,355646408,399,355.65,-36.7,145.2
VIC Goulburn-Broken,Fruit,50719,348341492,399,348.34,-36.7,145.2
VIC Goulburn-Broken,Grapevines,6661,11487687,399,11.49,-36.7,145.2
VIC Goulburn-Broken,Other broadacre,0,2127010,399,2.13,-36.7,145.2
VIC Goulburn-Broken,Other cereals,0,13574571,399,13.57,-36.7,145.2
VIC Goulburn-Broken,Pastures - Grazing,219106,206814207,399,206.81,-36.7,145.2
VIC Goulburn-Broken,Pastures - Hay,59483,32111063,399,32.11,-36.7,145.2
VIC Goulburn-Broken,Vegetables,6068,71584077,399,71.58,-36.7,145.2
VIC Loddon-Campaspe,All other crops,5112,0,390,0,-36.6,144.3
VIC Loddon-Campaspe,Dairy,0,29939619,390,29.94,-36.6,144.3
VIC Loddon-Campaspe,Fruit,1898,33974515,390,33.97,-36.6,144.3
VIC Loddon-Campaspe,Grapevines,2373,4997558,390,5,-36.6,144.3
VIC Loddon-Campaspe,Other broadacre,0,379028,390,0.38,-36.6,144.3
VIC Loddon-Campaspe,Other cereals,0,3592811,390,3.59,-36.6,144.3
VIC Loddon-Campaspe,Pastures - Grazing,17397,17110772,390,17.11,-36.6,144.3
VIC Loddon-Campaspe,Pastures - Hay,6407,3057097,390,3.06,-36.6,144.3
VIC Loddon-Campaspe,Vegetables,3248,33496722,390,33.5,-36.6,144.3
VIC Murray Above,All other crops,6202,0,454,0,-36.1,146
VIC Murray Above,Dairy,0,86586606,454,86.59,-36.1,146
VIC Murray Above,Fruit,10843,85958046,454,85.96,-36.1,146
VIC Murray Above,Grapevines,2024,3669986,454,3.67,-36.1,146
VIC Murray Above,Other broadacre,0,868126,454,0.87,-36.1,146
VIC Murray Above,Other cereals,0,677962,454,0.68,-36.1,146
VIC Murray Above,Pastures - Grazing,41889,34781432,454,34.78,-36.1,146
VIC Murray Above,Pastures - Hay,10777,6628759,454,6.63,-36.1,146
VIC Murray Above,Vegetables,929,11897925,454,11.9,-36.1,146
VIC Murray Below,All other crops,7744,0,202,0,-35.1,143
VIC Murray Below,Almonds,369767,503411126,202,503.41,-35.1,143
VIC Murray Below,Dairy,0,108368576,202,108.37,-35.1,143
VIC Murray Below,Fruit,89302,203810269,202,203.81,-35.1,143
VIC Murray Below,Grapevines,79239,477165369,202,477.17,-35.1,143
VIC Murray Below,Other broadacre,0,567283,202,0.57,-35.1,143
VIC Murray Below,Other cereals,0,4903462,202,4.9,-35.1,143
VIC Murray Below,Pastures - Grazing,64733,79779824,202,79.78,-35.1,143
VIC Murray Below,Pastures - Hay,40709,18849703,202,18.85,-35.1,143
VIC Murray Below,Vegetables,17630,147193543,202,147.19,-35.1,143
VIC Ovens,All other crops,6109,0,0,0,-36.5,146.8
VIC Ovens,Dairy,0,26159361,0,26.16,-36.5,146.8
VIC Ovens,Grapevines,2358,5089781,0,5.09,-36.5,146.8
VIC Ovens,Other broadacre,0,846361,0,0.85,-36.5,146.8
VIC Ovens,Pastures - Grazing,5836,6646643,0,6.65,-36.5,146.8
VIC Ovens,Pastures - Hay,1081,643088,0,0.64,-36.5,146.8
VIC Ovens,Vegetables,70,1016265,0,1.02,-36.5,146.8
VIC Werribee,All other crops,2474,0,0,0,-37.9,144.5
VIC Werribee,Dairy,0,11993692,0,11.99,-37.9,144.5
VIC Werribee,Grapevines,652,1138559,0,1.14,-37.9,144.5
VIC Werribee,Other broadacre,0,202003,0,0.2,-37.9,144.5
VIC Werribee,Other cereals,0,526782,0,0.53,-37.9,144.5
VIC Werribee,Pastures - Grazing,5121,4655256,0,4.66,-37.9,144.5
VIC Werribee,Pastures - Hay,159,169725,0,0.17,-37.9,144.5
VIC Werribee,Vegetables,4087,59730594,0,59.73,-37.9,144.5
VIC Wimmera-Avon,All other crops,2719,0,0,0,-36.8,142.5
VIC Wimmera-Avon,Dairy,0,864780,0,0.86,-36.8,142.5
VIC Wimmera-Avon,Grapevines,1737,9465199,0,9.47,-36.8,142.5
VIC Wimmera-Avon,Other broadacre,0,288516,0,0.29,-36.8,142.5
VIC Wimmera-Avon,Other cereals,0,1930676,0,1.93,-36.8,142.5
VIC Wimmera-Avon,Pastures - Grazing,5285,12501259,0,12.5,-36.8,142.5
VIC Wimmera-Avon,Pastures - Hay,1549,777314,0,0.78,-36.8,142.5
VIC Wimmera-Avon,Vegetables,394,3279372,0,3.28,-36.8,142.5
